year,broad_age_group,fine_age_group,population,prevalence_per_100k,cases,scenario,older_to_55_69_rate_ratio,source,total_cases,case_share
1990,<20,<20,2265305647,22956.97405233992,520045629.587981,older_lower_0.8,0.8,GBD observed,1578454768.2694108,0.3294650186005327
1990,20-54,20-39,1656306639,35482.453963658154,587698240.6801887,older_lower_0.8,0.8,GBD observed,1578454768.2694108,0.37232504376703196
1990,20-54,40-54,713268622,35482.453963658154,253085210.43836892,older_lower_0.8,0.8,GBD observed,1578454768.2694108,0.16033732199741582
1990,55+,55-69,460127127.5,35169.80722413703,161825823.72770923,older_lower_0.8,0.8,GBD observed,1578454768.2694108,0.10252167308229689
1990,55+,70+,198323037,28135.845779309628,55799863.83516317,older_lower_0.8,0.8,GBD observed,1578454768.2694108,0.035350942552722704
2023,<20,<20,2660055667.5,15684.739677027528,417222806.711392,older_lower_0.8,0.8,GBD observed,1875400243.1776772,0.22247134083999578
2023,20-54,20-39,2396257173,27129.43140409434,650090946.0147252,older_lower_0.8,0.8,GBD observed,1875400243.1776772,0.34664117613273393
2023,20-54,40-54,1451418332,27129.43140409434,393761540.76639026,older_lower_0.8,0.8,GBD observed,1875400243.1776772,0.209961336092823
2023,55+,55-69,1033239904,28651.685420748632,296040646.9357252,older_lower_0.8,0.8,GBD observed,1875400243.1776772,0.15785464890103357
2023,55+,70+,516044261.5,22921.34833659891,118284302.74944438,older_lower_0.8,0.8,GBD observed,1875400243.1776772,0.06307149803341366
2024,<20,<20,2660288891,15796.22483898044,420225214.58877933,older_lower_0.8,0.8,APC projected,1879651040.6276999,0.22356554780958027
2024,20-54,20-39,2407071461.5,27071.907365477167,651640156.2781174,older_lower_0.8,0.8,APC projected,1879651040.6276999,0.3466814542663757
2024,20-54,40-54,1466933773.5,27071.907365477167,397126952.2748186,older_lower_0.8,0.8,APC projected,1879651040.6276999,0.21127695710061165
2024,55+,55-69,1056453950,27640.20611000755,292006049.23731613,older_lower_0.8,0.8,APC projected,1879651040.6276999,0.15535120239116415
2024,55+,70+,536594534.5,22112.164888006042,118652668.24866846,older_lower_0.8,0.8,APC projected,1879651040.6276999,0.06312483843226827
2050,<20,<20,2607342916.5,15829.482320095787,412728885.99163735,older_lower_0.8,0.8,APC projected,2278491571.2134404,0.1811412827706153
2050,20-54,20-39,2605345437.5,27128.029599398928,706778881.4515895,older_lower_0.8,0.8,APC projected,2278491571.2134404,0.31019596051223713
2050,20-54,40-54,1783905025.5,27128.029599398928,483938283.342805,older_lower_0.8,0.8,APC projected,2278491571.2134404,0.21239415122570648
2050,55+,55-69,1517470487,27980.137076532043,424590322.3585183,older_lower_0.8,0.8,APC projected,2278491571.2134404,0.18634711127432313
2050,55+,70+,1118897297.5,22384.109661225637,250455198.06889006,older_lower_0.8,0.8,APC projected,2278491571.2134404,0.1099214942171179
1990,<20,<20,2265305647,22956.97405233992,520045629.587981,equal_within_band_1.0,1,GBD observed,1578454768.2694108,0.3294650186005327
1990,20-54,20-39,1656306639,35482.453963658154,587698240.6801887,equal_within_band_1.0,1,GBD observed,1578454768.2694108,0.37232504376703196
1990,20-54,40-54,713268622,35482.453963658154,253085210.43836892,equal_within_band_1.0,1,GBD observed,1578454768.2694108,0.16033732199741582
1990,55+,55-69,460127127.5,33051.201031763485,152077541.91170368,equal_within_band_1.0,1,GBD observed,1578454768.2694108,0.0963458345267877
1990,55+,70+,198323037,33051.201031763485,65548145.651168674,equal_within_band_1.0,1,GBD observed,1578454768.2694108,0.04152678110823187
2023,<20,<20,2660055667.5,15684.739677027528,417222806.711392,equal_within_band_1.0,1,GBD observed,1875400243.177677,0.2224713408399958
2023,20-54,20-39,2396257173,27129.43140409434,650090946.0147252,equal_within_band_1.0,1,GBD observed,1875400243.177677,0.346641176132734
2023,20-54,40-54,1451418332,27129.43140409434,393761540.76639026,equal_within_band_1.0,1,GBD observed,1875400243.177677,0.20996133609282303
2023,55+,55-69,1033239904,26742.992596936183,276319271.0353105,equal_within_band_1.0,1,GBD observed,1875400243.177677,0.14733882649343977
2023,55+,70+,516044261.5,26742.992596936183,138005678.64985898,equal_within_band_1.0,1,GBD observed,1875400243.177677,0.07358732044100744
2024,<20,<20,2660288891,15796.22483898044,420225214.58877933,equal_within_band_1.0,1,APC projected,1879651040.6276999,0.22356554780958027
2024,20-54,20-39,2407071461.5,27071.907365477167,651640156.2781174,equal_within_band_1.0,1,APC projected,1879651040.6276999,0.3466814542663757
2024,20-54,40-54,1466933773.5,27071.907365477167,397126952.2748186,equal_within_band_1.0,1,APC projected,1879651040.6276999,0.21127695710061165
2024,55+,55-69,1056453950,25778.168177654392,272334475.95047283,equal_within_band_1.0,1,APC projected,1879651040.6276999,0.14488565699914605
2024,55+,70+,536594534.5,25778.168177654392,138324241.53551173,equal_within_band_1.0,1,APC projected,1879651040.6276999,0.07359038382428637
2050,<20,<20,2607342916.5,15829.482320095787,412728885.99163735,equal_within_band_1.0,1,APC projected,2278491571.2134404,0.1811412827706153
2050,20-54,20-39,2605345437.5,27128.029599398928,706778881.4515895,equal_within_band_1.0,1,APC projected,2278491571.2134404,0.31019596051223713
2050,20-54,40-54,1783905025.5,27128.029599398928,483938283.342805,equal_within_band_1.0,1,APC projected,2278491571.2134404,0.21239415122570648
2050,55+,55-69,1517470487,25605.134624850307,388550361.0887216,equal_within_band_1.0,1,APC projected,2278491571.2134404,0.17052964601567255
2050,55+,70+,1118897297.5,25605.134624850307,286495159.3386868,equal_within_band_1.0,1,APC projected,2278491571.2134404,0.12573895947576846
1990,<20,<20,2265305647,22956.97405233992,520045629.587981,older_higher_1.2,1.2,GBD observed,1578454768.2694108,0.3294650186005327
1990,20-54,20-39,1656306639,35482.453963658154,587698240.6801887,older_higher_1.2,1.2,GBD observed,1578454768.2694108,0.37232504376703196
1990,20-54,40-54,713268622,35482.453963658154,253085210.43836892,older_higher_1.2,1.2,GBD observed,1578454768.2694108,0.16033732199741582
1990,55+,55-69,460127127.5,31173.339445400776,143436991.33594704,older_higher_1.2,1.2,GBD observed,1578454768.2694108,0.09087177803213756
1990,55+,70+,198323037,37408.00733448093,74188696.22692533,older_higher_1.2,1.2,GBD observed,1578454768.2694108,0.047000837602882005
2023,<20,<20,2660055667.5,15684.739677027528,417222806.711392,older_higher_1.2,1.2,GBD observed,1875400243.177677,0.2224713408399958
2023,20-54,20-39,2396257173,27129.43140409434,650090946.0147252,older_higher_1.2,1.2,GBD observed,1875400243.177677,0.346641176132734
2023,20-54,40-54,1451418332,27129.43140409434,393761540.76639026,older_higher_1.2,1.2,GBD observed,1875400243.177677,0.20996133609282303
2023,55+,55-69,1033239904,25072.72013994766,259061349.5041839,older_higher_1.2,1.2,GBD observed,1875400243.177677,0.13813656601922505
2023,55+,70+,516044261.5,30087.264167937192,155263600.1809856,older_higher_1.2,1.2,GBD observed,1875400243.177677,0.08278958091522216
2024,<20,<20,2660288891,15796.22483898044,420225214.58877933,older_higher_1.2,1.2,APC projected,1879651040.6276999,0.22356554780958027
2024,20-54,20-39,2407071461.5,27071.907365477167,651640156.2781174,older_higher_1.2,1.2,APC projected,1879651040.6276999,0.3466814542663757
2024,20-54,40-54,1466933773.5,27071.907365477167,397126952.2748186,older_higher_1.2,1.2,APC projected,1879651040.6276999,0.21127695710061165
2024,55+,55-69,1056453950,24151.175773129133,255146050.42666575,older_higher_1.2,1.2,APC projected,1879651040.6276999,0.1357411800976957
2024,55+,70+,536594534.5,28981.410927754958,155512667.05931884,older_higher_1.2,1.2,APC projected,1879651040.6276999,0.08273486072573671
2050,<20,<20,2607342916.5,15829.482320095787,412728885.99163735,older_higher_1.2,1.2,APC projected,2278491571.2134404,0.1811412827706153
2050,20-54,20-39,2605345437.5,27128.029599398928,706778881.4515895,older_higher_1.2,1.2,APC projected,2278491571.2134404,0.31019596051223713
2050,20-54,40-54,1783905025.5,27128.029599398928,483938283.342805,older_higher_1.2,1.2,APC projected,2278491571.2134404,0.21239415122570648
2050,55+,55-69,1517470487,23601.775112925217,358149971.74675107,older_higher_1.2,1.2,APC projected,2278491571.2134404,0.1571873147443831
2050,55+,70+,1118897297.5,28322.13013551026,316895548.6806574,older_higher_1.2,1.2,APC projected,2278491571.2134404,0.13908129074705794
1990,<20,<20,2265305647,22956.97405233992,520045629.587981,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.3294650186005327
1990,20-54,20-39,1656306639,35482.453963658154,587698240.6801887,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.37232504376703196
1990,20-54,40-54,713268622,35482.453963658154,253085210.43836892,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.16033732199741582
1990,55+,55-69,460127127.5,28725.228563149332,132172569.05542853,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.08373541751870416
1990,55+,70+,198323037,43087.842844724,85453118.50744383,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.05413719811631541
2023,<20,<20,2660055667.5,15684.739677027528,417222806.711392,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.22247134083999578
2023,20-54,20-39,2396257173,27129.43140409434,650090946.0147252,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.34664117613273393
2023,20-54,40-54,1451418332,27129.43140409434,393761540.76639026,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.209961336092823
2023,55+,55-69,1033239904,22924.99896364313,236870237.2839473,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.12630383201966236
2023,55+,70+,516044261.5,34387.4984454647,177454712.4012223,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.09462231491478487
2024,<20,<20,2660288891,15796.22483898044,420225214.58877933,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.22356554780958027
2024,20-54,20-39,2407071461.5,27071.907365477167,651640156.2781174,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.3466814542663757
2024,20-54,40-54,1466933773.5,27071.907365477167,397126952.2748186,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.21127695710061165
2024,55+,55-69,1056453950,22062.462984101236,233079761.66282538,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.12400161339787281
2024,55+,70+,536594534.5,33093.69447615185,177578955.82315925,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.09447442742555962
2050,<20,<20,2607342916.5,15829.482320095787,412728885.99163735,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.18114128277061534
2050,20-54,20-39,2605345437.5,27128.029599398928,706778881.4515895,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.3101959605122372
2050,20-54,40-54,1783905025.5,27128.029599398928,483938283.342805,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.2123941512257065
2050,55+,55-69,1517470487,21122.7876984448,320532069.3555664,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.1406773118694764
2050,55+,70+,1118897297.5,31684.181547667202,354513451.07184196,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.15559129362196467
